Date,Open,High,Low,Close,Volume,Adj Close
1978-02-01,7.96,8.10,7.96,8.04,000,8.04
1978-01-03,7.83,8.03,7.82,7.94,000,7.94
1977-12-01,7.58,7.82,7.58,7.78,000,7.78
1977-11-01,7.63,7.69,7.52,7.55,000,7.55
1977-10-03,7.41,7.62,7.40,7.62,000,7.62
1977-09-01,7.30,7.42,7.24,7.41,000,7.41
1977-08-01,7.43,7.48,7.25,7.28,000,7.28
1977-07-01,7.34,7.42,7.28,7.42,000,7.42
1977-06-01,7.38,7.39,7.16,7.20,000,7.20
1977-05-02,7.45,7.52,7.38,7.38,000,7.38
1977-04-01,7.43,7.47,7.22,7.45,000,7.45
1977-03-01,7.49,7.52,7.42,7.42,000,7.42
1977-02-01,7.41,7.50,7.26,7.45,000,7.45
1977-01-03,6.84,7.43,6.84,7.40,000,7.40
1976-12-01,6.97,6.97,6.80,6.81,000,6.81
1976-11-01,7.38,7.46,6.99,7.01,000,7.01
1976-10-01,7.49,7.53,7.31,7.42,000,7.42
1976-09-01,7.64,7.67,7.49,7.55,000,7.55
